Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Agricultural land (sq. km),AG.LND.AGRI.K2,Brunei Darussalam,BRN,110,100,134,134,134,134,134,134,134,134,134,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Bulgaria,BGR,61590,55820,51230,49950,49770,50119,50210,50295.2,50300,50370,50470,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Burkina Faso,BFA,95750,97700,121430,123430,121430,121430,121430,121430,121430,121430,121430,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Burundi,BDI,21100,18670,19330,20330,20330,20330,20330,20330,20330,20330,20330,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Cabo Verde,CPV,680,710,840,840,790,790,790,790,790,790,790,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Cambodia,KHM,44550,47700,54550,54550,54550,55820,56040,56520,56910,57480,57890,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Cameroon,CMR,91700,91600,97500,97500,97500,97500,97500,97500,97500,97500,97500,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Canada,CAN,614030,612870,577710,578420,579130,579850,580500,580240,582020,581570,577430,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Cayman Islands,CYM,27,27,27,27,27,27,27,27,27,27,27,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Central African Republic,CAF,50060,51490,50800,50800,50800,50800,50800,50800,50800,50800,50800,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Chad,TCD,483000,486300,496850,500360,502360,502370,502380,502380,502380,502380,502380,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Chile,CHL,158990,151100,157550,157810,157612,157850,157418,157570,156950,156710,157100,..
Agricultural land (sq. km),AG.LND.AGRI.K2,China,CHN,5065920,5237310,5287995,5288015,5286950,5286334,5285529,5285121,5285097,5285092,5285081,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Colombia,COL,450830,448590,426176,448156,447847,447539,447230,494990,494920,496090,482428.225,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Comoros,COM,1140,1330,1330,1330,1330,1330,1320,1310,1310,1310,1310,..
Agricultural land (sq. km),AG.LND.AGRI.K2,"Congo, Dem. Rep.",COD,259600,256000,308860,314300,322490,324500,326720,332760,335440,337300,335720,..
Agricultural land (sq. km),AG.LND.AGRI.K2,"Congo, Rep.",COG,105210,105400,106020,106270,106270,106270,106270,106280,106280,106280,106280,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Costa Rica,CRI,21986,18400,18120,18010,17780,17775,17775,17795,17825,17755,17615,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Cote d'Ivoire,CIV,189300,196000,207000,212000,212000,212000,212000,212000,212000,212000,212000,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Croatia,HRV,24040,11690,13310,15673,15085,15372,15460,14970,14840,15040,15050,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Cuba,CUB,67410,65540,64056,63423,62788.8,62403,62267,63000,63000,64010,64010,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Cyprus,CYP,1606,1415,1169,1088.3,1089.8,1266.8,1093.9,1214.2,1318.867,1251.94,1341.289,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Czechia,CZE,42820,42800,35258.9,35210,35160,34940,34880,35210,35230,35236.59,35238.71,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Denmark,DNK,27880,26470,26240,26280,26526.31,26338.99,26251,26313,26325,26259.65,26199.87,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Djibouti,DJI,12990,16010,17020,17020,17020,17020,17020,17020,17020,17020,17020,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Dominica,DMA,180,210,250,250,250,250,250,250,250,250,250,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Dominican Republic,DOM,25460,25150,23520,23520,23520,24290,24290,24290,24290,24290,24290,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Ecuador,ECU,78460,80660,75069,75130,54750,57890,55160,55900,54480,53300,54200,..
Agricultural land (sq. km),AG.LND.AGRI.K2,"Egypt, Arab Rep.",EGY,26480,32910,36960,37309.7,37151.9,37898.771,37337.654,38369.688,38630,39220,39710,..
Agricultural land (sq. km),AG.LND.AGRI.K2,El Salvador,SLV,13531.2,13752.2,12497,12408,12319,12230,12141,12052,11957,11957,11957,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Equatorial Guinea,GNQ,2328.5,2128.5,1928.8,1925.8,1922.8,1919.8,1916.8,1913.8,1910.8,1907.8,1885.2,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Eritrea,ERI,..,75300,75920,75920,75920,75920,75920,75920,75920,75920,75920,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Estonia,EST,13740,9860,9559,9650,9740,9930,10030,9820,9850,9884,9850,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Eswatini,SWZ,12380,12230,12220,12220,12220,12220,12220,12220,12220,12220,12220,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Ethiopia,ETH,563120,306620,364880,366990,369100,371210,373320,375401,379030,381895.5,384761,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Faroe Islands,FRO,965.32,964.93,964.03,964.03,964.18,964.18,963.5,963.5,963.35,963.35,960.7,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Fiji,FJI,4100,3718,3177,3170,3163,3156,3149,3142,3135,3128,3116,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Finland,FIN,23930,22180,22851,22585,22671,22734,22750,22700,22720,22740,22700,..
Agricultural land (sq. km),AG.LND.AGRI.K2,France,FRA,305928,298074,288448,287737,287665,287269,287180.21,286974.99,286601,286211.86,285537.54,..
Agricultural land (sq. km),AG.LND.AGRI.K2,French Polynesia,PYF,430,430,455,455,455,455,455,465,475,475,475,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Gabon,GAB,20053.8,20670,21413.54,21532.36,21651.18,21770,21888.8,22007.6,22126.4,22126.4,22126.4,..
Agricultural land (sq. km),AG.LND.AGRI.K2,"Gambia, The",GMB,5860,5520,6050,6050,6050,6050,6050,6050,6050,6050,6050,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Georgia,GEO,32290,30000,24350,24861,24160,24181,23940,23848,23742,23726,23779,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Germany,DEU,180320,170680,166640,166970,167250,167310,166590,166870,166450,166660,165950,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Ghana,GHA,126050,130945.9,126820.66,126909.64,126998.62,127087.6,126633.6,126179.6,126071.4,126037.4,126037.4,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Greece,GRC,92220,85290,72830,71530,62010,61990,61360,60535.408,59436.904,58671.88,58671.88,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Greenland,GRL,2368,2398,2434,2430.7,2430.8,2431,2431.1,2431.1,2431.1,2431.1,2431.1,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Grenada,GRD,130,120,80,80,80,80,80,80,80,80,80,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Guam,GUM,200,200,180,180,180,170,170,170,160,160,160,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Guatemala,GTM,42850,47617.2,38091.6,37207,37938,38560,38560,38560,38560,38560,38560,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Guinea,GIN,141410,140790,144000,145000,145000,145000,145000,145000,145000,145000,145000,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Guinea-Bissau,GNB,5786.7,6631.2,7644.58,7729.02,7813.46,7897.9,7982.3,8066.7,8151.1,8151.1,8151.1,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Guyana,GUY,10828.5,11207.8,11885.7,12002.6,12119.5,12236.4,12328.4,12420.5,12512.5,12412.5,12412.5,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Haiti,HTI,15970,16900,17700,18400,18400,18400,18400,18400,18400,18400,18400,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Honduras,HND,33200,29350,33600,33720,33770,33770,34260,34900,35110,35110,35110,..
Agricultural land (sq. km),AG.LND.AGRI.K2,"Hong Kong SAR, China",HKG,80,70,51,51,51,51,50,51,50,50,40,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Hungary,HUN,64740,58540,53380,52570,52640,52640,52820,53030,52960,52780,49030,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Iceland,ISL,19010,18890,18722,18722,18722,18720,18720,18720,18720,18720,18720,..
Agricultural land (sq. km),AG.LND.AGRI.K2,India,IND,1814130,1809750,1796420,1796980,1797280,1796750,1795780,1792356.04,1791155.64,1790449.469,1790450.764,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Indonesia,IDN,450830,471770,565000,570000,570000,573000,602000,623000,623000,623000,623000,..
Agricultural land (sq. km),AG.LND.AGRI.K2,"Iran, Islamic Rep.",IRN,615000,628840,462458,459540,459540,459540,459540,464350,469150,470130,470130,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Iraq,IRQ,92300,83000,85685,88637.5,92690,92500,92500,92500,92500,92500,92500,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Ireland,IRL,56490,44120,45330,44770,44660,44300,44610,44890,45160,45240,45120,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Isle of Man,IMN,396,438,384,388,389,404,407,402,403,403,398,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Israel,ISR,5790,5660,5262,5203,5377,5339,5520,6440,6413,6384,6464,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Italy,ITA,168400,156370,137290,136300,131620,129450,128120,128265.7,124050,131209.62,129990,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Jamaica,JAM,4760,4790,4440,4440,4440,4440,4440,4440,4440,4440,4440,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Japan,JPN,56930,52580,45490,45380,45180,44960,44710,44440,44200,43970,43720,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Jordan,JOR,10402,10690,10449,10566,10640,10563,10659.6,10070,10218,10365,10290,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Kazakhstan,KAZ,2214630,2153933,2170121,2169941,2167994,2162597,2162421,2162137,2160361,2139743,2140032,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Kenya,KEN,267700,266710,277300,276300,276300,276300,276300,276300,276300,276300,276300,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Kiribati,KIR,390,340,340,340,340,340,340,340,340,340,340,..
Agricultural land (sq. km),AG.LND.AGRI.K2,"Korea, Dem. People's Rep.",PRK,25180,25500,26300,26300,26300,26300,26200,26050,25930,25900,25900,..
Agricultural land (sq. km),AG.LND.AGRI.K2,"Korea, Rep.",KOR,21790,19730,17880,17687,17483,17360,17008,16767,16520,16370,16210,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Kuwait,KWT,1410,1480,1520,1536,1521,1494,1500,1514,1500,1500,1500,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Kyrgyz Republic,KGZ,100880,107140,105913,105567,105571,105562,105411,105401,103708,103684,103678,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Lao PDR,LAO,16600,18060,23072.5,23350,23330,23330,23330,22569,21808,21047,20290,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Latvia,LVA,25300,15880,18410,18770,18720,18845,19310,19330,19380,19600,19690,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Lebanon,LBN,6050,5950,6580,6600,6620,6650,6710,6733.2,6715.5,6696.7,6696.7,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Lesotho,LSO,23210,23340,22853,22521,22763,22230,23560,24180,24333,21420,26000,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Liberia,LBR,24930,14093.6,17724.8,18027.4,18330,18632.6,18935.2,19237.8,19540.4,19540.4,19540.4,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Libya,LBY,154550,154500,153550,153550,153500,153500,153500,153500,153500,153500,153500,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Liechtenstein,LIE,70,70,54.7,53.4,52.3,52.7,52.7,52.7,52.7,52.7,53.2,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Lithuania,LTU,33890,34180,28422,28914,29524,30059,29539,29353,29470,29750,29428,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Luxembourg,LUX,..,1280,1314.2,1308.8,1309.9,1312.7,1306.51,1311.58,1315.59,1315.92,1321.36,..
Agricultural land (sq. km),AG.LND.AGRI.K2,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Madagascar,MDG,363250,405000,408950,408950,408950,408950,408950,408950,408950,408950,408950,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Malawi,MWI,42180,47300,55850,56000,56500,56500,56500,56500,56500,56500,56500,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Malaysia,MYS,67566,69387,78292,80593,80890,85699.7,85710,85710,85710,85710,85710,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Maldives,MDV,80,90,64,64,64,64,64,64,64,64,64,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Mali,MLI,321280,386000,416510,412010,412010,412010,412010,412010,412010,412010,412010,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Malta,MLT,130,90,103,102.3,102.3,102.3,103.8,103.8,103.8,103.8,103.8,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Marshall Islands,MHL,120,120,120,86,86,86,86,86,86,86,86,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Mauritania,MRT,396560,397500,396610,396610,396610,396610,396610,396610,396610,396610,396610,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Mauritius,MUS,1110,1010,870,860,860,860,860,860,860,860,860,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Mexico,MEX,1051510,1063300,1005120,994860,987480,986800,983380,969460,965160,961060,971380,..
Agricultural land (sq. km),AG.LND.AGRI.K2,"Micronesia, Fed. Sts.",FSM,225,225,220,220,220,220,220,220,220,220,220,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Moldova,MDA,25600,25440,24600,24610,23150,23180,23179,23173,22571,22616,22646,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Mongolia,MNG,1256560,1304700,1140679.033,1140302.8,1136820,1136644.1,1135607.9,1134671.9,1134330,1133735,1126995.469,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Montenegro,MNE,5150,5150,5130,2231.3,2303.2,2314,2557,2563,2568,2570,2579.5,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Morocco,MAR,303430,306520,304030,305850,300825,300470,308750,310465.482,305258.072,296119.07,303820,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Mozambique,MOZ,352600,374500,400787.16,402851.44,404915.72,406980,410097.1,412314,414138.32,414138.32,414138.32,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Myanmar,MMR,104280,108120,125490,125870,126320,127489.999,127600,130536,130713,129794,130080,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Namibia,NAM,386620,388200,388090,388090,388090,388090,388100,388100,388100,388100,388100,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Nauru,NRU,4,4,4,4,4,4,4,4,4,4,4,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Nepal,NPL,41444,42491,41210,41210,41210,41210,41210,41210,41210,41210,41210,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Netherlands,NLD,20060,19581,18417,18476,18391,18460,18150,18190,18220,18168,18144.5,..
Agricultural land (sq. km),AG.LND.AGRI.K2,New Caledonia,NCL,2320,2450,1840.34,1837.3,1837.3,1840.3,1840.3,1840.3,1840.3,1840.3,1840.3,..
Agricultural land (sq. km),AG.LND.AGRI.K2,New Zealand,NZL,161820,154130,112094,111060,111160,107120,106140,106440,104980,103450,101540,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Nicaragua,NIC,40250,51410,51030,50650,50650,50650,50650,50650,50650,50650,50650,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Niger,NER,330470,370000,447820,456820,456820,456970,463970,465970,465970,465970,465970,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Nigeria,NGA,615860,661839.6,681436.32,683069.38,684702.44,686335.5,687968.521,689601.5,691234.5,692867.5,694500.5,..
Agricultural land (sq. km),AG.LND.AGRI.K2,North Macedonia,MKD,13070,12350,12670,12600,12610,12620,12650,12660,12640,12650,12620,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Northern Mariana Islands,MNP,40,30,17,17,17,17,17,17,5.4,5.4,5.4,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Norway,NOR,9760,10420,9928,9871.428,9867.6,9860.3,9836.61,9851.12,9862.8,9842.54,9859.62,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Oman,OMN,10800,11730,14238,14195,14198,14340,14360,14519.2,14598.9,14614,14589.3,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Pakistan,PAK,352060,366980,360630,362800,362520,362020,367940,370030,369530,363230,367230,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Palau,PLW,43,43,43,43,43,43,43,43,43,43,43,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Panama,PAN,21240,22300,22530,22430,22330,22230,22130,22030,21930,21830,21741,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Papua New Guinea,PNG,8770,10050,11900,11900,11900,11900,11900,11900,11900,11900,11900,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Paraguay,PRY,141841.4,150951.4,164301.4,165541.4,167331.4,169381.4,167341.4,167231.4,168071.4,168091.4,168091.4,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Peru,PER,224370.091,232313,251002.6,249673.7,248315.8,246958.04,244430,245181.08,246985.89,244782.9,244782.9,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Philippines,PHL,111400,112340,124300,124690,124980,125270,125560,125850,126140,126430,126750,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Poland,POL,187930,184130,145290,144100,144240,143710,143740,144620,145120,145230,144610,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Portugal,PRT,39630,39563.8,36644.1,37011,36638.8,36387.8,36190.3,36733.928,37099.578,38939.43,38727.799,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Puerto Rico,PRI,4350,2472,1968,1922,1876,1830,1784,1738,1689,1679,1679,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Qatar,QAT,610,660,695,702,710,710,710,720,740,740,740,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Romania,ROU,147690,148570,137330,139050,138300,138580,135210,133780,134140,138260,135910,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Russian Federation,RUS,2216310,2171620,2154940,2154940,2154940,2154940,2154940,2154940,2154940,2154940,2154940,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Rwanda,RWA,18790,16700,18157.3,18425,18095,18117,18117,18117,18117,18117,18117,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Samoa,WSM,540,480,545,610,675,756.2,688.1,620,551.7,494.1,494.1,..
Agricultural land (sq. km),AG.LND.AGRI.K2,San Marino,SMR,10,10,10,10,10,23,23,23,23,23,23,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Sao Tome and Principe,STP,420,490,440,440,440,440,440,440,440,440,440,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Saudi Arabia,SAU,1234810,1737850,1733450,1732950,1735753,1736370,1736270,1735960.681,1735959.169,1735959.169,1735959.169,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Senegal,SEN,88690,90270,89650,88680,88720,88730,88780,88780,88780,88780,88780,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Serbia,SRB,35370,35370,34626,34912,35064,34810,34560,34380,34870,34820,35040,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Seychelles,SYC,40,40,15,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Sierra Leone,SLE,28250,28100,38366.5,39486.5,39490,39490,39490,39490,39490,39490,39490,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Singapore,SGP,20,12,7.3,6.7,6.6,6.6,6.6,6.6,6.6,6.6,6.6,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Slovak Republic,SVK,24460,24400,19274,18934,18894,18886,18860,18790,18890,18850,18830,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Slovenia,SVN,5640,5180,6117.9,6102.1,6148.4,6164.9,6174.8,6150.4,6120,6122.8,6104.9,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Solomon Islands,SLB,680,760,1110,1110,1115,1130,1140,1170,1170,1170,1170,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Somalia,SOM,440420,440670,440250,441250,441250,441250,441250,441250,441250,441250,441250,..
Agricultural land (sq. km),AG.LND.AGRI.K2,South Africa,ZAF,956000,981250,963410,963410,963410,963410,963410,963410,963410,963410,963410,..
Agricultural land (sq. km),AG.LND.AGRI.K2,South Sudan,SSD,..,..,284979.125,284626.25,284273.375,283920.5,283567.625,283214.75,282510,282510,282510,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Spain,ESP,304720,297660,269420,267332,265780,265765,262657,262955.3,261833.239,262066.906,261426.381,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Sri Lanka,LKA,23390,23500,27400,27400,27400,27400,27500,27602,28116,28115.728,28120,..
Agricultural land (sq. km),AG.LND.AGRI.K2,St. Kitts and Nevis,KNA,120,95,60,60,60,60,60,60,60,60,60,..
Agricultural land (sq. km),AG.LND.AGRI.K2,St. Lucia,LCA,209,142,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,..
Agricultural land (sq. km),AG.LND.AGRI.K2,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,St. Vincent and the Grenadines,VCT,105.8,70,70,70,70,70,70,70,70,70,70,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Sudan,SDN,1229100,1315750,682071.6,681945.6,681861.6,684910.8,687960,691009.2,694058.4,694058.4,694058.4,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Suriname,SUR,880,880,732,832,882,870,870,840,840,840,840,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Sweden,SWE,34130,29741,30315,30360.8,30360.7,30283.5,30209.2,30113.7,30003.9,30047.8,30055.4,..
